Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR9516354,NA,NODE_30_length_6674_cov_25.573442,335,913,+,aac(6')-IIc,aminoglycoside N-acetyltransferase AAC(6')-IIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,193,193,100,100,193,WP_012695484.1,aminoglycoside N-acetyltransferase AAC(6')-IIc,NA,NA
ERR9516354,NA,NODE_30_length_6674_cov_25.573442,3001,3807,+,aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,269,269,100,100,269,WP_012695485.1,aminoglycoside N-acetyltransferase AAC(3)-IIg,NA,NA
ERR9516354,NA,NODE_30_length_6674_cov_25.573442,3938,4348,+,arr,NAD(+)--rifampin ADP-ribosyltransferase,core,AMR,AMR,RIFAMYCIN,RIFAMYCIN,EXACTX,137,137,100,100,137,WP_012695486.1,NAD(+)--rifampin ADP-ribosyltransferase,NA,NA
ERR9516354,NA,NODE_30_length_6674_cov_25.573442,5232,6269,+,ere(A),EreA family erythromycin esterase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,PARTIALX,346,408,84.8,100,346,WP_021566672.1,EreA family erythromycin esterase,NA,NA
ERR9516354,NA,NODE_30_length_6674_cov_25.573442,6455,6673,+,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,73,115,63.48,100,73,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516354,NA,NODE_31_length_6415_cov_25.192490,147,1049,+,mph(A),Mph(A) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,EXACTX,301,301,100,100,301,WP_000219391.1,Mph(A) family macrolide 2'-phosphotransferase,NA,NA
ERR9516354,NA,NODE_33_length_5357_cov_28.642424,1371,2567,+,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804063.1,tetracycline efflux MFS transporter Tet(A),NA,NA
ERR9516354,NA,NODE_33_length_5357_cov_28.642424,3173,4384,-,floR,chloramphenicol/florfenicol efflux MFS transporter FloR,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,EXACTX,404,404,100,100,404,WP_000214119.1,chloramphenicol/florfenicol efflux MFS transporter FloR,NA,NA
ERR9516354,NA,NODE_35_length_4613_cov_39.010582,149,1006,+,blaSHV-12,extended-spectrum class A beta-lactamase SHV-12,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,286,286,100,100,286,WP_002904004.1,extended-spectrum class A beta-lactamase SHV-12,NA,NA
ERR9516354,NA,NODE_38_length_4229_cov_31.383671,2765,3331,+,dfrA19,trimethoprim-resistant dihydrofolate reductase DfrA19,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,189,189,100,100,189,WP_000019304.1,trimethoprim-resistant dihydrofolate reductase DfrA19,NA,NA
ERR9516354,NA,NODE_39_length_3675_cov_31.836020,775,1956,+,tet(D),tetracycline efflux MFS transporter Tet(D),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,394,394,100,100,394,WP_001039466.1,tetracycline efflux MFS transporter Tet(D),NA,NA
ERR9516354,NA,NODE_41_length_3330_cov_25.317246,677,1549,-,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
ERR9516354,NA,NODE_44_length_2386_cov_33.254223,1376,2017,-,qnrB2,quinolone resistance pentapeptide repeat protein QnrB2,core,AMR,AMR,QUINOLONE,QUINOLONE,ALLELEX,214,214,100,100,214,WP_012695489.1,quinolone resistance pentapeptide repeat protein QnrB2,NA,NA
ERR9516354,NA,NODE_48_length_1548_cov_31.220258,742,1380,+,catA2,type A-2 chloramphenicol O-acetyltransferase CatII,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,213,213,100,100,213,WP_001011939.1,type A-2 chloramphenicol O-acetyltransferase CatII,NA,NA
ERR9516354,NA,NODE_49_length_1478_cov_53.248394,1,597,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,199,267,74.53,100,199,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR9516354,NA,NODE_49_length_1478_cov_53.248394,600,1433,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR9516354,NA,NODE_51_length_1225_cov_48.842334,216,1073,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
ERR9516354,NA,NODE_53_length_1150_cov_55.836906,36,848,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR9516354,NA,NODE_54_length_1062_cov_56.864975,2,202,+,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,67,115,58.26,100,67,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR9516354,NA,NODE_54_length_1062_cov_56.864975,199,1035,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
